




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	human_orthologs_for_go_enrichment.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	human_orthologs_for_go_enrichment.txt (3154)	human_orthologs_for_go_enrichment.txt (expected)	human_orthologs_for_go_enrichment.txt (over/under)	human_orthologs_for_go_enrichment.txt (fold Enrichment)	human_orthologs_for_go_enrichment.txt (raw P-value)	human_orthologs_for_go_enrichment.txt (FDR)
process utilizing autophagic mechanism (GO:0061919)	306	87	46.29	+	1.88	7.74E-07	2.46E-05
cellular response to insulin stimulus (GO:0032869)	176	50	26.62	+	1.88	2.15E-04	3.78E-03
negative regulation of mitotic cell cycle (GO:0045930)	303	86	45.83	+	1.88	1.00E-06	3.07E-05
protein-containing complex subunit organization (GO:0043933)	1547	439	234.00	+	1.88	1.37E-30	2.94E-28
response to interleukin-1 (GO:0070555)	201	57	30.40	+	1.87	8.42E-05	1.65E-03
regulation of mitotic cell cycle (GO:0007346)	597	168	90.30	+	1.86	9.73E-12	6.20E-10
endosomal transport (GO:0016197)	235	66	35.55	+	1.86	2.22E-05	5.05E-04
glycerolipid metabolic process (GO:0046486)	399	112	60.35	+	1.86	3.06E-08	1.24E-06
cellular response to starvation (GO:0009267)	196	55	29.65	+	1.86	1.06E-04	2.01E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	164	46	24.81	+	1.85	4.30E-04	6.97E-03
DNA biosynthetic process (GO:0071897)	118	33	17.85	+	1.85	3.37E-03	4.04E-02
cellular modified amino acid metabolic process (GO:0006575)	186	52	28.14	+	1.85	2.14E-04	3.77E-03
mitotic cell cycle (GO:0000278)	757	211	114.51	+	1.84	3.15E-14	2.66E-12
establishment of vesicle localization (GO:0051650)	201	56	30.40	+	1.84	1.22E-04	2.29E-03
mitotic cell cycle process (GO:1903047)	680	189	102.86	+	1.84	1.06E-12	7.75E-11
regulation of small molecule metabolic process (GO:0062012)	457	127	69.13	+	1.84	6.08E-09	2.75E-07
regulation of proteasomal protein catabolic process (GO:0061136)	184	51	27.83	+	1.83	2.89E-04	4.91E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	1012	280	153.08	+	1.83	2.96E-18	3.09E-16
gene silencing (GO:0016458)	152	42	22.99	+	1.83	8.87E-04	1.31E-02
amino acid transport (GO:0006865)	134	37	20.27	+	1.83	1.98E-03	2.59E-02
membrane lipid biosynthetic process (GO:0046467)	134	37	20.27	+	1.83	1.98E-03	2.58E-02
aromatic compound biosynthetic process (GO:0019438)	1096	302	165.79	+	1.82	1.99E-19	2.16E-17
response to endoplasmic reticulum stress (GO:0034976)	262	72	39.63	+	1.82	1.89E-05	4.33E-04
viral life cycle (GO:0019058)	223	61	33.73	+	1.81	8.93E-05	1.75E-03
cellular macromolecule localization (GO:0070727)	1652	451	249.89	+	1.80	2.20E-28	4.25E-26
cellular protein localization (GO:0034613)	1643	448	248.53	+	1.80	3.60E-28	6.79E-26
establishment of localization in cell (GO:0051649)	2378	647	359.71	+	1.80	1.27E-41	4.19E-39
protein methylation (GO:0006479)	140	38	21.18	+	1.79	2.41E-03	3.04E-02
protein alkylation (GO:0008213)	140	38	21.18	+	1.79	2.41E-03	3.04E-02
negative regulation of cellular amide metabolic process (GO:0034249)	155	42	23.45	+	1.79	1.36E-03	1.89E-02
response to insulin (GO:0032868)	240	65	36.30	+	1.79	7.55E-05	1.49E-03
double-strand break repair (GO:0006302)	189	51	28.59	+	1.78	4.88E-04	7.82E-03
vesicle localization (GO:0051648)	208	56	31.46	+	1.78	2.31E-04	4.00E-03
T cell receptor signaling pathway (GO:0050852)	182	49	27.53	+	1.78	5.73E-04	8.97E-03
cellular metabolic process (GO:0044237)	7784	2095	1177.44	+	1.78	3.34E-207	2.65E-203
positive regulation of cellular amide metabolic process (GO:0034250)	168	45	25.41	+	1.77	1.05E-03	1.50E-02
Fc receptor signaling pathway (GO:0038093)	239	64	36.15	+	1.77	1.04E-04	1.99E-03
positive regulation of Wnt signaling pathway (GO:0030177)	183	49	27.68	+	1.77	8.10E-04	1.21E-02
response to drug (GO:0042493)	393	105	59.45	+	1.77	8.11E-07	2.55E-05
phosphorus metabolic process (GO:0006793)	2197	585	332.33	+	1.76	5.40E-35	1.36E-32
cellular response to chemical stress (GO:0062197)	290	77	43.87	+	1.76	3.18E-05	6.99E-04
myeloid leukocyte activation (GO:0002274)	584	155	88.34	+	1.75	1.83E-09	9.25E-08
mitotic spindle organization (GO:0007052)	166	44	25.11	+	1.75	1.41E-03	1.94E-02
cellular response to stress (GO:0033554)	1761	466	266.38	+	1.75	7.85E-27	1.37E-24
response to hypoxia (GO:0001666)	344	91	52.03	+	1.75	5.50E-06	1.47E-04
phosphate-containing compound metabolic process (GO:0006796)	2170	574	328.24	+	1.75	1.34E-33	3.23E-31
cellular response to DNA damage stimulus (GO:0006974)	787	208	119.04	+	1.75	3.65E-12	2.47E-10
primary metabolic process (GO:0044238)	7578	1992	1146.28	+	1.74	1.19E-176	4.72E-173
cellular response to oxidative stress (GO:0034599)	244	64	36.91	+	1.73	1.70E-04	3.06E-03
protein-containing complex disassembly (GO:0032984)	225	59	34.03	+	1.73	3.67E-04	6.08E-03
DNA integrity checkpoint (GO:0031570)	149	39	22.54	+	1.73	3.27E-03	3.94E-02
cell division (GO:0051301)	501	131	75.78	+	1.73	8.80E-08	3.26E-06
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	218	57	32.98	+	1.73	4.24E-04	6.89E-03
cell cycle checkpoint (GO:0000075)	199	52	30.10	+	1.73	9.22E-04	1.35E-02
protein localization (GO:0008104)	2198	573	332.48	+	1.72	4.75E-32	1.11E-29
regulation of chromosome organization (GO:0033044)	284	74	42.96	+	1.72	7.17E-05	1.42E-03
leukocyte activation involved in immune response (GO:0002366)	622	162	94.09	+	1.72	2.64E-09	1.31E-07
post-translational protein modification (GO:0043687)	361	94	54.61	+	1.72	6.43E-06	1.70E-04
organic substance metabolic process (GO:0071704)	8011	2085	1211.77	+	1.72	1.48E-187	7.81E-184
Fc-epsilon receptor signaling pathway (GO:0038095)	173	45	26.17	+	1.72	1.73E-03	2.30E-02
regulation of cell cycle process (GO:0010564)	769	200	116.32	+	1.72	4.11E-11	2.46E-09
positive regulation of intracellular protein transport (GO:0090316)	185	48	27.98	+	1.72	1.67E-03	2.24E-02
cell activation involved in immune response (GO:0002263)	626	162	94.69	+	1.71	4.00E-09	1.91E-07
cellular component biogenesis (GO:0044085)	2654	685	401.45	+	1.71	5.68E-38	1.67E-35
negative regulation of canonical Wnt signaling pathway (GO:0090090)	186	48	28.14	+	1.71	1.72E-03	2.29E-02
metabolic process (GO:0008152)	8592	2217	1299.66	+	1.71	1.89E-207	3.00E-203
spindle organization (GO:0007051)	229	59	34.64	+	1.70	4.26E-04	6.91E-03
response to starvation (GO:0042594)	241	62	36.45	+	1.70	4.09E-04	6.70E-03
response to oxygen levels (GO:0070482)	382	98	57.78	+	1.70	7.94E-06	2.06E-04
organelle localization (GO:0051640)	612	157	92.57	+	1.70	1.34E-08	5.81E-07
response to temperature stimulus (GO:0009266)	168	43	25.41	+	1.69	2.89E-03	3.54E-02
response to decreased oxygen levels (GO:0036293)	356	91	53.85	+	1.69	1.96E-05	4.49E-04
macromolecule localization (GO:0033036)	2561	654	387.39	+	1.69	7.22E-35	1.79E-32
exocytosis (GO:0006887)	788	201	119.20	+	1.69	1.25E-10	7.34E-09
nitrogen compound metabolic process (GO:0006807)	7091	1807	1072.61	+	1.68	2.05E-135	5.42E-132
regulated exocytosis (GO:0045055)	691	176	104.52	+	1.68	2.26E-09	1.13E-07
methylation (GO:0032259)	319	81	48.25	+	1.68	6.83E-05	1.37E-03
establishment of organelle localization (GO:0051656)	398	101	60.20	+	1.68	8.64E-06	2.21E-04
regulation of protein stability (GO:0031647)	304	77	45.98	+	1.67	1.19E-04	2.24E-03
regulation of generation of precursor metabolites and energy (GO:0043467)	166	42	25.11	+	1.67	3.81E-03	4.48E-02
macromolecule methylation (GO:0043414)	261	66	39.48	+	1.67	3.61E-04	5.98E-03
regulation of DNA metabolic process (GO:0051052)	380	96	57.48	+	1.67	1.44E-05	3.43E-04
mitochondrion organization (GO:0007005)	465	117	70.34	+	1.66	2.05E-06	5.97E-05
negative regulation of cell cycle (GO:0045786)	577	145	87.28	+	1.66	1.23E-07	4.46E-06
meiotic cell cycle (GO:0051321)	227	57	34.34	+	1.66	1.01E-03	1.45E-02
cellular response to nutrient levels (GO:0031669)	243	61	36.76	+	1.66	7.97E-04	1.20E-02
positive regulation of intracellular transport (GO:0032388)	228	57	34.49	+	1.65	1.05E-03	1.50E-02
positive regulation of DNA metabolic process (GO:0051054)	209	52	31.61	+	1.64	2.21E-03	2.85E-02
protein glycosylation (GO:0006486)	246	61	37.21	+	1.64	8.61E-04	1.28E-02
macromolecule glycosylation (GO:0043413)	246	61	37.21	+	1.64	8.61E-04	1.28E-02
regulation of cellular catabolic process (GO:0031329)	866	214	130.99	+	1.63	3.90E-10	2.13E-08
glycosylation (GO:0070085)	259	64	39.18	+	1.63	6.49E-04	1.00E-02
regulation of intracellular transport (GO:0032386)	365	90	55.21	+	1.63	6.01E-05	1.24E-03
cellular localization (GO:0051641)	3005	740	454.55	+	1.63	1.79E-35	4.58E-33
regulation of cellular protein catabolic process (GO:1903362)	252	62	38.12	+	1.63	9.75E-04	1.42E-02
cellular component disassembly (GO:0022411)	400	98	60.51	+	1.62	3.92E-05	8.45E-04
cell cycle process (GO:0022402)	1059	259	160.19	+	1.62	8.71E-12	5.57E-10
positive regulation of innate immune response (GO:0045089)	209	51	31.61	+	1.61	3.02E-03	3.68E-02
organonitrogen compound metabolic process (GO:1901564)	5444	1323	823.48	+	1.61	3.85E-71	3.05E-68
response to oxidative stress (GO:0006979)	400	97	60.51	+	1.60	5.29E-05	1.11E-03
regulation of cell cycle (GO:0051726)	1209	290	182.88	+	1.59	2.93E-12	2.00E-10
cell cycle (GO:0007049)	1383	331	209.20	+	1.58	8.89E-14	7.05E-12
regulation of catabolic process (GO:0009894)	1029	246	155.65	+	1.58	2.36E-10	1.33E-08
regulation of protein catabolic process (GO:0042176)	394	94	59.60	+	1.58	1.39E-04	2.58E-03
response to toxic substance (GO:0009636)	239	57	36.15	+	1.58	3.08E-03	3.75E-02
dephosphorylation (GO:0016311)	323	77	48.86	+	1.58	5.59E-04	8.79E-03
positive regulation of protein-containing complex assembly (GO:0031334)	252	60	38.12	+	1.57	2.29E-03	2.92E-02
proteolysis (GO:0006508)	1297	308	196.19	+	1.57	1.57E-12	1.11E-10
cellular protein metabolic process (GO:0044267)	3822	905	578.13	+	1.57	3.41E-39	1.06E-36
transport (GO:0006810)	4574	1082	691.88	+	1.56	6.06E-49	2.67E-46
chromatin organization (GO:0006325)	704	166	106.49	+	1.56	4.92E-07	1.62E-05
ion transmembrane transport (GO:0034220)	921	216	139.31	+	1.55	1.26E-08	5.48E-07
establishment of localization (GO:0051234)	4713	1101	712.91	+	1.54	9.58E-48	4.00E-45
cellular response to extracellular stimulus (GO:0031668)	274	64	41.45	+	1.54	2.58E-03	3.21E-02
macromolecule metabolic process (GO:0043170)	6333	1476	957.95	+	1.54	9.01E-72	7.52E-69
cellular macromolecule metabolic process (GO:0044260)	5145	1194	778.25	+	1.53	6.96E-52	3.25E-49
response to metal ion (GO:0010038)	371	86	56.12	+	1.53	5.80E-04	9.07E-03
protein-containing complex localization (GO:0031503)	255	59	38.57	+	1.53	4.15E-03	4.78E-02
cellular component assembly (GO:0022607)	2394	553	362.13	+	1.53	2.50E-20	2.83E-18
response to inorganic substance (GO:0010035)	542	125	81.98	+	1.52	3.44E-05	7.49E-04
secretion by cell (GO:0032940)	977	225	147.78	+	1.52	2.32E-08	9.55E-07
positive regulation of cellular protein localization (GO:1903829)	304	70	45.98	+	1.52	1.98E-03	2.58E-02
ion transport (GO:0006811)	1348	310	203.90	+	1.52	3.59E-11	2.16E-09
secretion (GO:0046903)	1093	251	165.33	+	1.52	4.03E-09	1.90E-07
response to nutrient levels (GO:0031667)	502	115	75.93	+	1.51	1.05E-04	1.99E-03
organelle organization (GO:0006996)	3586	820	542.43	+	1.51	2.26E-30	4.77E-28
protein modification by small protein conjugation (GO:0032446)	822	187	124.34	+	1.50	8.53E-07	2.67E-05
protein modification by small protein conjugation or removal (GO:0070647)	1033	234	156.26	+	1.50	4.03E-08	1.60E-06
export from cell (GO:0140352)	1025	232	155.05	+	1.50	4.58E-08	1.79E-06
membrane organization (GO:0061024)	921	208	139.31	+	1.49	2.49E-07	8.73E-06
cell-cell signaling by wnt (GO:0198738)	346	78	52.34	+	1.49	2.23E-03	2.86E-02
Wnt signaling pathway (GO:0016055)	346	78	52.34	+	1.49	2.23E-03	2.86E-02
response to extracellular stimulus (GO:0009991)	534	120	80.77	+	1.49	1.30E-04	2.42E-03
positive regulation of establishment of protein localization (GO:1904951)	374	84	56.57	+	1.48	1.61E-03	2.17E-02
organelle assembly (GO:0070925)	773	173	116.93	+	1.48	4.64E-06	1.26E-04
regulation of cellular protein localization (GO:1903827)	568	127	85.92	+	1.48	1.01E-04	1.94E-03
protein ubiquitination (GO:0016567)	744	166	112.54	+	1.48	8.10E-06	2.09E-04
endomembrane system organization (GO:0010256)	453	101	68.52	+	1.47	5.70E-04	8.94E-03
regulation of autophagy (GO:0010506)	342	76	51.73	+	1.47	3.37E-03	4.04E-02
protein metabolic process (GO:0019538)	4407	974	666.62	+	1.46	2.23E-32	5.29E-30
lipid localization (GO:0010876)	350	77	52.94	+	1.45	3.74E-03	4.42E-02
vesicle-mediated transport (GO:0016192)	1972	432	298.29	+	1.45	1.36E-12	9.72E-11
phosphorylation (GO:0016310)	1301	282	196.79	+	1.43	4.26E-08	1.68E-06
regulation of protein-containing complex assembly (GO:0043254)	459	99	69.43	+	1.43	1.83E-03	2.41E-02
monovalent inorganic cation transport (GO:0015672)	422	91	63.83	+	1.43	2.87E-03	3.51E-02
leukocyte mediated immunity (GO:0002443)	760	163	114.96	+	1.42	6.75E-05	1.36E-03
peptidyl-amino acid modification (GO:0018193)	898	192	135.83	+	1.41	1.55E-05	3.67E-04
response to abiotic stimulus (GO:0009628)	1165	249	176.22	+	1.41	8.53E-07	2.67E-05
positive regulation of organelle organization (GO:0010638)	608	129	91.97	+	1.40	5.81E-04	9.08E-03
cation transport (GO:0006812)	835	174	126.31	+	1.38	1.36E-04	2.53E-03
RNA biosynthetic process (GO:0032774)	570	118	86.22	+	1.37	2.35E-03	2.99E-02
localization (GO:0051179)	5873	1215	888.37	+	1.37	3.26E-31	7.18E-29
regulation of cellular localization (GO:0060341)	848	175	128.27	+	1.36	2.18E-04	3.81E-03
cation transmembrane transport (GO:0098655)	636	131	96.20	+	1.36	1.59E-03	2.16E-02
macromolecule modification (GO:0043412)	3412	701	516.11	+	1.36	2.71E-15	2.45E-13
cellular protein modification process (GO:0006464)	3188	644	482.23	+	1.34	1.17E-12	8.53E-11
protein modification process (GO:0036211)	3188	644	482.23	+	1.34	1.17E-12	8.49E-11
cellular component organization or biogenesis (GO:0071840)	5922	1195	895.78	+	1.33	1.64E-26	2.80E-24
leukocyte activation (GO:0045321)	931	187	140.83	+	1.33	4.01E-04	6.58E-03
regulation of organelle organization (GO:0033043)	1211	242	183.18	+	1.32	7.13E-05	1.42E-03
immune effector process (GO:0002252)	1095	215	165.63	+	1.30	4.72E-04	7.60E-03
response to organonitrogen compound (GO:0010243)	1001	194	151.41	+	1.28	1.55E-03	2.10E-02
interspecies interaction between organisms (GO:0044419)	2129	412	322.04	+	1.28	2.29E-06	6.58E-05
cellular component organization (GO:0016043)	5703	1083	862.66	+	1.26	1.37E-15	1.27E-13
cell activation (GO:0001775)	1076	203	162.76	+	1.25	3.79E-03	4.46E-02
cellular process (GO:0009987)	15598	2938	2359.41	+	1.25	4.04E-143	1.28E-139
response to organic substance (GO:0010033)	3013	553	455.76	+	1.21	8.15E-06	2.10E-04
response to stress (GO:0006950)	3663	672	554.08	+	1.21	5.86E-07	1.90E-05
cellular response to chemical stimulus (GO:0070887)	2932	537	443.51	+	1.21	1.54E-05	3.64E-04
regulation of biological quality (GO:0065008)	4033	738	610.05	+	1.21	1.76E-07	6.28E-06
regulation of cellular component organization (GO:0051128)	2373	422	358.95	+	1.18	1.29E-03	1.79E-02
biological_process (GO:0008150)	18012	3063	2724.56	+	1.12	3.86E-87	3.83E-84
regulation of biological process (GO:0050789)	11960	1686	1809.11	-	.93	3.97E-05	8.53E-04
regulation of cellular process (GO:0050794)	11395	1552	1723.65	-	.90	1.23E-08	5.38E-07
developmental process (GO:0032502)	5765	753	872.04	-	.86	7.83E-06	2.04E-04
regulation of RNA metabolic process (GO:0051252)	3801	490	574.95	-	.85	2.02E-04	3.58E-03
regulation of signaling (GO:0023051)	3479	440	526.25	-	.84	9.41E-05	1.83E-03
regulation of cell communication (GO:0010646)	3443	432	520.80	-	.83	5.06E-05	1.06E-03
regulation of signal transduction (GO:0009966)	3078	383	465.59	-	.82	7.95E-05	1.56E-03
anatomical structure development (GO:0048856)	5301	657	801.85	-	.82	1.67E-08	7.01E-07
positive regulation of gene expression (GO:0010628)	2302	284	348.21	-	.82	4.95E-04	7.89E-03
immune response (GO:0006955)	1952	240	295.27	-	.81	1.29E-03	1.79E-02
regulation of response to stimulus (GO:0048583)	4287	527	648.47	-	.81	3.23E-07	1.11E-05
multicellular organismal process (GO:0032501)	6985	856	1056.58	-	.81	7.06E-13	5.26E-11
multicellular organism development (GO:0007275)	4906	597	742.10	-	.80	5.79E-09	2.65E-07
negative regulation of response to stimulus (GO:0048585)	1824	219	275.91	-	.79	6.11E-04	9.51E-03
regulation of cell differentiation (GO:0045595)	1574	187	238.09	-	.79	9.66E-04	1.40E-02
regulation of response to external stimulus (GO:0032101)	1204	142	182.12	-	.78	3.62E-03	4.30E-02
regulation of protein phosphorylation (GO:0001932)	1468	171	222.06	-	.77	6.44E-04	9.96E-03
regulation of nucleic acid-templated transcription (GO:1903506)	3521	410	532.60	-	.77	2.04E-08	8.46E-07
positive regulation of response to stimulus (GO:0048584)	2303	268	348.36	-	.77	1.12E-05	2.80E-04
regulation of RNA biosynthetic process (GO:2001141)	3526	410	533.36	-	.77	1.55E-08	6.59E-07
system development (GO:0048731)	4317	501	653.01	-	.77	1.32E-10	7.71E-09
negative regulation of nucleic acid-templated transcription (GO:1903507)	1310	152	198.16	-	.77	1.20E-03	1.68E-02
cell-cell signaling (GO:0007267)	1122	130	169.72	-	.77	2.61E-03	3.23E-02
negative regulation of RNA biosynthetic process (GO:1902679)	1312	152	198.46	-	.77	1.05E-03	1.50E-02
regulation of transcription, DNA-templated (GO:0006355)	3452	398	522.16	-	.76	9.76E-09	4.31E-07
regulation of immune response (GO:0050776)	1137	131	171.99	-	.76	2.08E-03	2.70E-02
regulation of developmental process (GO:0050793)	2469	284	373.47	-	.76	1.83E-06	5.35E-05
regulation of immune system process (GO:0002682)	1708	196	258.36	-	.76	9.88E-05	1.91E-03
response to biotic stimulus (GO:0009607)	1466	168	221.75	-	.76	3.09E-04	5.22E-03
animal organ development (GO:0048513)	3247	372	491.15	-	.76	1.46E-08	6.28E-07
positive regulation of immune system process (GO:0002684)	1054	120	159.43	-	.75	2.21E-03	2.84E-02
response to other organism (GO:0051707)	1431	162	216.46	-	.75	2.25E-04	3.92E-03
response to external biotic stimulus (GO:0043207)	1433	162	216.76	-	.75	1.95E-04	3.47E-03
positive regulation of RNA metabolic process (GO:0051254)	1722	194	260.48	-	.74	3.12E-05	6.88E-04
positive regulation of intracellular signal transduction (GO:1902533)	1017	113	153.84	-	.73	1.14E-03	1.61E-02
negative regulation of transcription, DNA-templated (GO:0045892)	1270	141	192.10	-	.73	2.16E-04	3.78E-03
positive regulation of cell population proliferation (GO:0008284)	941	104	142.34	-	.73	1.44E-03	1.97E-02
cellular developmental process (GO:0048869)	3596	397	543.94	-	.73	1.67E-11	1.04E-09
regulation of multicellular organismal process (GO:0051239)	2698	297	408.11	-	.73	9.84E-09	4.31E-07
cell communication (GO:0007154)	5611	609	848.74	-	.72	1.28E-20	1.48E-18
embryo development (GO:0009790)	996	108	150.66	-	.72	5.21E-04	8.25E-03
cell differentiation (GO:0030154)	3540	383	535.47	-	.72	1.90E-12	1.32E-10
regulation of MAPK cascade (GO:0043408)	705	76	106.64	-	.71	3.59E-03	4.28E-02
nervous system development (GO:0007399)	2203	237	333.23	-	.71	5.12E-08	1.97E-06
positive regulation of multicellular organismal process (GO:0051240)	1431	153	216.46	-	.71	1.32E-05	3.21E-04
regulation of cell population proliferation (GO:0042127)	1667	178	252.16	-	.71	2.10E-06	6.10E-05
signal transduction (GO:0007165)	5168	548	781.73	-	.70	6.95E-21	8.16E-19
cell surface receptor signaling pathway (GO:0007166)	2520	267	381.18	-	.70	1.09E-09	5.63E-08
signaling (GO:0023052)	5520	582	834.98	-	.70	3.40E-23	4.61E-21
positive regulation of phosphorus metabolic process (GO:0010562)	1165	122	176.22	-	.69	3.78E-05	8.15E-04
positive regulation of phosphate metabolic process (GO:0045937)	1165	122	176.22	-	.69	3.78E-05	8.14E-04
hemopoiesis (GO:0030097)	587	61	88.79	-	.69	3.80E-03	4.47E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	1627	168	246.11	-	.68	3.48E-07	1.19E-05
positive regulation of RNA biosynthetic process (GO:1902680)	1628	168	246.26	-	.68	3.49E-07	1.19E-05
positive regulation of cell motility (GO:2000147)	546	56	82.59	-	.68	4.02E-03	4.64E-02
response to bacterium (GO:0009617)	733	75	110.88	-	.68	6.84E-04	1.05E-02
positive regulation of transcription, DNA-templated (GO:0045893)	1542	157	233.25	-	.67	3.15E-07	1.08E-05
positive regulation of locomotion (GO:0040017)	561	57	84.86	-	.67	3.05E-03	3.71E-02
positive regulation of phosphorylation (GO:0042327)	1094	111	165.48	-	.67	1.75E-05	4.07E-04
regulation of cell migration (GO:0030334)	894	90	135.23	-	.67	9.19E-05	1.79E-03
regulation of cellular component movement (GO:0051270)	1037	104	156.86	-	.66	1.92E-05	4.40E-04
cell development (GO:0048468)	1655	165	250.34	-	.66	2.55E-08	1.04E-06
positive regulation of developmental process (GO:0051094)	1278	127	193.32	-	.66	1.20E-06	3.65E-05
regulation of locomotion (GO:0040012)	998	98	150.96	-	.65	1.30E-05	3.18E-04
regulation of cell motility (GO:2000145)	956	93	144.61	-	.64	1.32E-05	3.21E-04
positive regulation of protein phosphorylation (GO:0001934)	1017	98	153.84	-	.64	4.34E-06	1.18E-04
regulation of GTPase activity (GO:0043087)	488	47	73.82	-	.64	1.86E-03	2.44E-02
sensory organ development (GO:0007423)	572	55	86.52	-	.64	7.67E-04	1.15E-02
regulation of transcription by RNA polymerase II (GO:0006357)	2629	252	397.67	-	.63	8.73E-15	7.73E-13
cell projection organization (GO:0030030)	1200	115	181.52	-	.63	4.36E-07	1.45E-05
defense response (GO:0006952)	1433	137	216.76	-	.63	2.39E-08	9.80E-07
regulation of system process (GO:0044057)	586	56	88.64	-	.63	5.71E-04	8.94E-03
regulation of multicellular organismal development (GO:2000026)	1332	127	201.48	-	.63	6.25E-08	2.38E-06
neurogenesis (GO:0022008)	1401	133	211.92	-	.63	2.13E-08	8.80E-07
negative regulation of cell population proliferation (GO:0008285)	699	66	105.73	-	.62	1.07E-04	2.03E-03
plasma membrane bounded cell projection organization (GO:0120036)	1154	108	174.56	-	.62	2.55E-07	8.92E-06
negative regulation of transcription by RNA polymerase II (GO:0000122)	924	86	139.77	-	.62	3.64E-06	1.00E-04
cellular component morphogenesis (GO:0032989)	617	57	93.33	-	.61	1.62E-04	2.93E-03
generation of neurons (GO:0048699)	1278	118	193.32	-	.61	2.05E-08	8.47E-07
defense response to other organism (GO:0098542)	1040	96	157.31	-	.61	5.43E-07	1.77E-05
innate immune response (GO:0045087)	847	78	128.12	-	.61	5.95E-06	1.58E-04
forebrain development (GO:0030900)	402	37	60.81	-	.61	2.65E-03	3.28E-02
circulatory system development (GO:0072359)	871	80	131.75	-	.61	3.92E-06	1.07E-04
blood circulation (GO:0008015)	406	37	61.41	-	.60	1.76E-03	2.33E-02
positive regulation of GTPase activity (GO:0043547)	418	38	63.23	-	.60	1.58E-03	2.15E-02
positive regulation of cell differentiation (GO:0045597)	837	76	126.61	-	.60	4.08E-06	1.12E-04
epithelial cell differentiation (GO:0030855)	683	62	103.31	-	.60	3.44E-05	7.49E-04
system process (GO:0003008)	2066	187	312.51	-	.60	6.48E-14	5.24E-12
tissue development (GO:0009888)	1763	158	266.68	-	.59	2.61E-12	1.79E-10
positive regulation of MAPK cascade (GO:0043410)	526	47	79.56	-	.59	2.14E-04	3.77E-03
anatomical structure morphogenesis (GO:0009653)	2182	194	330.06	-	.59	1.65E-15	1.52E-13
regulation of cell development (GO:0060284)	495	44	74.88	-	.59	2.96E-04	5.01E-03
regulation of neurogenesis (GO:0050767)	360	32	54.45	-	.59	2.48E-03	3.12E-02
neuron development (GO:0048666)	850	75	128.57	-	.58	1.34E-06	4.00E-05
negative regulation of multicellular organismal process (GO:0051241)	1022	90	154.59	-	.58	7.43E-08	2.79E-06
neuron differentiation (GO:0030182)	1050	92	158.83	-	.58	3.91E-08	1.56E-06
movement of cell or subcellular component (GO:0006928)	1599	140	241.87	-	.58	5.89E-12	3.87E-10
cellular divalent inorganic cation homeostasis (GO:0072503)	460	40	69.58	-	.57	3.71E-04	6.12E-03
skin development (GO:0043588)	381	33	57.63	-	.57	1.19E-03	1.66E-02
regulation of immune effector process (GO:0002697)	474	41	71.70	-	.57	2.70E-04	4.62E-03
regulation of cellular response to growth factor stimulus (GO:0090287)	302	26	45.68	-	.57	3.84E-03	4.51E-02
skeletal system development (GO:0001501)	489	42	73.97	-	.57	1.57E-04	2.86E-03
heart development (GO:0007507)	524	45	79.26	-	.57	9.28E-05	1.80E-03
epithelium development (GO:0060429)	1121	96	169.57	-	.57	4.59E-09	2.16E-07
epidermis development (GO:0008544)	423	36	63.98	-	.56	4.58E-04	7.38E-03
behavior (GO:0007610)	577	49	87.28	-	.56	3.25E-05	7.12E-04
neuron projection development (GO:0031175)	695	59	105.13	-	.56	3.85E-06	1.06E-04
divalent inorganic cation homeostasis (GO:0072507)	483	41	73.06	-	.56	1.41E-04	2.61E-03
cellular calcium ion homeostasis (GO:0006874)	427	36	64.59	-	.56	2.92E-04	4.97E-03
calcium ion homeostasis (GO:0055074)	442	37	66.86	-	.55	2.12E-04	3.74E-03
regulation of cell adhesion (GO:0030155)	721	60	109.06	-	.55	1.15E-06	3.52E-05
cell part morphogenesis (GO:0032990)	532	44	80.47	-	.55	3.47E-05	7.53E-04
anatomical structure formation involved in morphogenesis (GO:0048646)	889	73	134.47	-	.54	3.27E-08	1.32E-06
cell morphogenesis (GO:0000902)	721	59	109.06	-	.54	6.51E-07	2.09E-05
regulation of small GTPase mediated signal transduction (GO:0051056)	330	27	49.92	-	.54	1.15E-03	1.61E-02
regulation of ERK1 and ERK2 cascade (GO:0070372)	295	24	44.62	-	.54	1.93E-03	2.53E-02
regulation of nervous system development (GO:0051960)	443	36	67.01	-	.54	1.21E-04	2.26E-03
inflammatory response (GO:0006954)	517	42	78.20	-	.54	2.68E-05	6.00E-04
positive regulation of transcription by RNA polymerase II (GO:0045944)	1215	98	183.79	-	.53	2.56E-11	1.56E-09
muscle organ development (GO:0007517)	286	23	43.26	-	.53	2.16E-03	2.78E-02
vasculature development (GO:0001944)	525	42	79.41	-	.53	1.71E-05	3.98E-04
